;id;label;community
310;311;CARRILLO, G.E.;0.0
311;312;(...), ROUSSEAU;22.0
312;313;LUCAS, P.;0.0
313;314;VERINAZ JADAN, H.I.;7.0
314;315;LE MOULLAC, G.;1.0
315;316;BRAIDWOOD, L.;3.0
316;317;(...), BOSNIC;0.0
317;318;VALLEJO BADILLO, M.I.;89.0
318;319;CALLE, P.;9.0
319;320;SVENSSON, J.T.;31.0
320;321;(...), TORRES;9.0
321;322;(...), VITERI;2.0
322;323;LAVID CEDENO, N.;83.0
323;324;(...), SUDIRMAN;65.0
324;325;GALINDO VILLARDON, M.P.;11.0
325;326;HOLLAREK, T.;55.0
326;327;(...), SILVA;1.0
327;328;C., ELSEN;5.0
328;329;ABATA, K.;4.0
329;330;R., NAVARRETE;2.0
330;331;GAVINO ARMIJOS, L.A.;87.0
331;332;A., AGUIRRE;9.0
332;333;ORTIZ, M.;0.0
333;334;FRATERNALI, P.;64.0
334;335;(...), LI;18.0
335;336;ROSERO BARZOLA, C.;20.0
336;337;MAGANN, A.B.;4.0
337;338;VINTIMILLA, B.X;19.0
338;339;PISSULLA, D.;12.0
339;340;JARAMILLO, V.G.;25.0
340;341;RODRIGUEZ PESANTES, D.;1.0
341;342;BRUSILOVSKY, P.;0.0
342;343;LAVAYEN LEON, M.L.;90.0
343;344;GAUTAMA, S.;19.0
344;345;G., CASTELLS;0.0
345;346;RAMOS, B.;2.0
346;347;IAN, S. T.;54.0
347;348;ERAZO, B.;8.0
348;349;(...), STERN;1.0
349;350;ALRUHAILY, N.;34.0
350;351;(...), LAVENS;2.0
351;352;VERGARA, C.;0.0
352;353;(...), OCHOA;0.0
353;354;AGUIRRE, A.A.;4.0
354;355;REYES LUJAN, J.;4.0
355;356;BONILLA BERMEO, J.;89.0
356;357;ASTAIZA, E.;14.0
357;358;FIGUEROA, J.;14.0
358;359;ONKARAPPA, N.;8.0
359;360;HUILCAPI, V.;1.0
360;361;QUIMBA HERRERA, S.;56.0
361;362;J., LAROZE;12.0
362;363;CABANAS, D.;3.0
363;364;CHICA, E.J.;103.0
364;365;FREIGOUN, M.T.;4.0
365;366;O., SANTOS ORDONEZ;0.0
366;367;BOHORQUEZ CRUZ, M.;1.0
367;368;(...), MEERS;10.0
368;369;M.J., SVENNING;40.0
369;370;TORRES, J.;0.0
370;371;HERNANDEZ HERNANDEZ, J.E.;71.0
371;372;QUIJANO AVILES, M.F.;2.0
372;373;(...), PERALTA;3.0
373;374;STEWART, A.M.;1.0
374;375;LUDENA, E.V.;5.0
375;376;VAN DER STRAETEN, D.;0.0
376;377;CRIOLLO, R.;2.0
377;378;BACH, L.T.;1.0
378;379;CHILUIZA, K.;0.0
379;380;A., ORTIZ;6.0
380;381;AVILES, J.C.;106.0
381;382;APARISI, F.;45.0
382;383;MUENTES, E.H.;52.0
383;384;GUEVARA, M.;1.0
384;385;I;35.0
385;386;NANDAKUMAR, K.;6.0
386;387;SANCHEZ ZURITA, C.;5.0
387;388;J.J.;9.0
388;389;MOLINARO, M.;0.0
389;390;DANOS, E.;8.0
390;391;THOMAS, A.L.;3.0
391;392;MUNOZ, L.D.;4.0
392;393;BONIFAZ, M.J.;44.0
393;394;(...), BOERO;5.0
394;395;MUNOZ NARANJO, M.;58.0
395;396;PAREDES, C.;75.0
396;397;MANOUSELIS, N.;0.0
397;398;GUERRERO, C.;6.0
398;399;GUARANDA, M. B.;4.0
399;400;J., GUAMAN;0.0
400;401;AMAYA, J.L.;35.0
401;402;CECHINEL, C.;0.0
402;403;(...), RUIZ;3.0
403;404;QUEZADA, E.;10.0
404;405;CEVALLOS CEVALLOS, J.M.;3.0
405;406;MORANTE, F.;5.0
406;407;SUAREZ QUIRUMBAY, K.B.;2.0
407;408;(...), CARRION;1.0
408;409;PEREZ, L.;1.0
409;410;ARENAS, D.;91.0
410;411;(...), ROMERO;8.0
411;412;OCHOA AVILES, A.;2.0
412;413;KAPITANIAK, M.;6.0
413;414;KLERKX, J.;0.0
