Source;Target;Weight
Alvarez-Alvarado, M.S.;Cordova-Villagomez, J.;1
Alvarez-Alvarado, M.S.;Recalde, A.;2
Alvarez-Alvarado, M.S.;Blazquez, F.;1
Cordova-Villagomez, J.;Recalde, A.;1
Cordova-Villagomez, J.;Blazquez, F.;1
Recalde, A.;Blazquez, F.;1
Recalde, A.;Endara, I.;2
Recalde, A.;Torres, J.;1
Endara, I.;Torres, J.;1
Endara, I.;Alvarez-Alvarado, M.S.;1
Endara, I.;Vaca-Urbano, F.;1
Torres, J.;Alvarez-Alvarado, M.S.;1
Torres, J.;Vaca-Urbano, F.;1
Cipriano, D.;Rengifo, J.;1
Cipriano, D.;Aller, J.M.;1
Rengifo, J.;Aller, J.M.;2
Rengifo, J.;Romero, J.;1
Romero, J.;Aller, J.M.;1
Asanza, V.;Pelaez, E.;4
Asanza, V.;Loayza, F.;3
Asanza, V.;Diaz, J.;1
Asanza, V.;Valarezo, E.;1
Pelaez, E.;Loayza, F.;3
Pelaez, E.;Diaz, J.;1
Pelaez, E.;Valarezo, E.;1
Loayza, F.;Diaz, J.;1
Loayza, F.;Valarezo, E.;1
Diaz, J.;Valarezo, E.;1
Suarez, P.L.;Sappa, A.D.;6
Suarez, P.L.;Vintimilla, B.X.;6
Suarez, P.L.;Hammoud, R.I.;2
Sappa, A.D.;Hammoud, R.I.;2
Vintimilla, B.X.;Hammoud, R.I.;2
Villegas, P.;Mena, L.;1
Villegas, P.;Constantine, A.;1
Villegas, P.;Villalba, R.;1
Villegas, P.;Ochoa, D.;1
Mena, L.;Constantine, A.;1
Mena, L.;Villalba, R.;1
Mena, L.;Ochoa, D.;1
Constantine, A.;Villalba, R.;1
Constantine, A.;Ochoa, D.;1
Villalba, R.;Ochoa, D.;1
Baidal, C.S.;Salazar, D.S.;1
Baidal, C.S.;Padilla, V.S.;1
Baidal, C.S.;Estrada, R.L.;1
Baidal, C.S.;Arreaga, N.X.;1
Salazar, D.S.;Padilla, V.S.;1
Salazar, D.S.;Estrada, R.L.;1
Salazar, D.S.;Arreaga, N.X.;1
Padilla, V.S.;Estrada, R.L.;1
Padilla, V.S.;Arreaga, N.X.;2
Estrada, R.L.;Arreaga, N.X.;1
Velásquez, W.;Chalen, M.;2
Velásquez, W.;Salvachúa, J.;3
Chalen, M.;Salvachúa, J.;1
Liao, W.;Zhao, Y.;1
Liao, W.;Rugel, G.M.V.;1
Liao, W.;Philips, W.;2
Ochoa, D.;Zhao, Y.;1
Ochoa, D.;Rugel, G.M.V.;1
Ochoa, D.;Philips, W.;7
Zhao, Y.;Rugel, G.M.V.;1
Zhao, Y.;Philips, W.;1
Rugel, G.M.V.;Philips, W.;1
Dye, M.;Kumar, N.;1
Dye, M.;Schlesinger, A.;1
Dye, M.;Pal, J.;1
Dye, M.;Gray, M.L.;1
Kumar, N.;Schlesinger, A.;1
Kumar, N.;Pal, J.;1
Kumar, N.;Gray, M.L.;1
Schlesinger, A.;Pal, J.;1
Schlesinger, A.;Gray, M.L.;1
Pal, J.;Gray, M.L.;1
Lucas, P.;Loayza, K.;2
Lucas, P.;Peláez, E.;3
Loayza, K.;Peláez, E.;1
Castro, S.J.;Jácome, L.;1
Castro, S.J.;Concha, A.G.;1
Castro, S.J.;Miño, M.F.;1
Castro, S.J.;De Lourdes Pilay, M.;1
Jácome, L.;Concha, A.G.;1
Jácome, L.;Miño, M.F.;1
Jácome, L.;De Lourdes Pilay, M.;1
Concha, A.G.;Miño, M.F.;1
Concha, A.G.;De Lourdes Pilay, M.;1
Miño, M.F.;De Lourdes Pilay, M.;1
Cordova-Garcia, J.;Xie, D.-L.;1
Cordova-Garcia, J.;Wang, X.;2
Xie, D.-L.;Wang, X.;1
Cordova Estrella, R.;Marin-Garcia, I.;1
Cordova Estrella, R.;Munoz-Arcentales, J.A.;1
Cordova Estrella, R.;Asanza, V.;1
Cordova Estrella, R.;Velasquez Vargas, W.A.;1
Marin-Garcia, I.;Munoz-Arcentales, J.A.;1
Marin-Garcia, I.;Asanza, V.;1
Marin-Garcia, I.;Velasquez Vargas, W.A.;1
Munoz-Arcentales, J.A.;Asanza, V.;1
Munoz-Arcentales, J.A.;Velasquez Vargas, W.A.;1
Asanza, V.;Velasquez Vargas, W.A.;1
MacArini, L.A.;Cechinel, C.;1
MacArini, L.A.;Dos Santos, H.L.;1
MacArini, L.A.;Alonso, G.E.;1
MacArini, L.A.;Casas, A.P.;1
Cechinel, C.;Dos Santos, H.L.;4
Cechinel, C.;Casas, A.P.;1
Dos Santos, H.L.;Alonso, G.E.;2
Dos Santos, H.L.;Casas, A.P.;1
Alonso, G.E.;Casas, A.P.;1
Jurado-Verdu, C.;Guerra, V.;2
Jurado-Verdu, C.;Rabadan, J.;2
Jurado-Verdu, C.;Perez-Jimenez, R.;2
Jurado-Verdu, C.;Chavez-Burbano, P.;2
Guerra, V.;Rabadan, J.;4
Guerra, V.;Perez-Jimenez, R.;4
Guerra, V.;Chavez-Burbano, P.;3
Rabadan, J.;Perez-Jimenez, R.;4
Rabadan, J.;Chavez-Burbano, P.;3
Perez-Jimenez, R.;Chavez-Burbano, P.;4
Boza, E.F.;Villavicencio, M.;3
Boza, E.F.;Quimba, S.;2
Abad, C.L.;Villavicencio, M.;2
Abad, C.L.;Quimba, S.;2
Villavicencio, M.;Quimba, S.;3
Luzardo, G.;Aelterman, J.;2
Luzardo, G.;Luong, H.;2
Luzardo, G.;Ochoa, D.;2
Luzardo, G.;Rousseaux, S.;1
Aelterman, J.;Luong, H.;2
Aelterman, J.;Ochoa, D.;2
Aelterman, J.;Rousseaux, S.;1
Luong, H.;Ochoa, D.;2
Luong, H.;Rousseaux, S.;1
Ochoa, D.;Rousseaux, S.;1
Velasquez, W.;Alvarez-Alvarado, M.S.;1
