Source;Target;Type;Weight;year
Wong-Villacres, M.;Kumar, N.;Undirected;3;2018
Wong-Villacres, M.;DiSalvo, B.;Undirected;2;2018
Kumar, N.;DiSalvo, B.;Undirected;2;2018
Vishwanath, A.;Karusala, N.;Undirected;1;2019
Vishwanath, A.;Wong-Villacres, M.;Undirected;2;2018
Vishwanath, A.;Kumar, N.;Undirected;2;2018
Karusala, N.;Wong-Villacres, M.;Undirected;1;2019
Karusala, N.;Kumar, N.;Undirected;1;2019
Aumala, G.;Boza, E.;Undirected;1;2019
Aumala, G.;Ortiz-Aviles, L.;Undirected;1;2019
Aumala, G.;Totoy, G.;Undirected;1;2019
Aumala, G.;Abad, C.;Undirected;1;2019
Boza, E.;Ortiz-Aviles, L.;Undirected;1;2019
Boza, E.;Totoy, G.;Undirected;1;2019
Ortiz-Aviles, L.;Totoy, G.;Undirected;1;2019
Ortiz-Aviles, L.;Abad, C.;Undirected;1;2019
Totoy, G.;Abad, C.;Undirected;1;2019
Do, T.H.;Minh Nguyen, D.;Undirected;1;2019
Do, T.H.;Tsiligianni, E.;Undirected;1;2019
Do, T.H.;Philips, W.;Undirected;1;2019
Do, T.H.;Deligiannis, N.;Undirected;1;2019
Minh Nguyen, D.;Tsiligianni, E.;Undirected;1;2019
Minh Nguyen, D.;Philips, W.;Undirected;1;2019
Minh Nguyen, D.;Deligiannis, N.;Undirected;1;2019
Tsiligianni, E.;Philips, W.;Undirected;1;2019
Tsiligianni, E.;Deligiannis, N.;Undirected;1;2019
Philips, W.;Deligiannis, N.;Undirected;1;2019
Talluri, S.;Abad, C.L.;Undirected;1;2019
Talluri, S.;Łuszczak, A.;Undirected;1;2019
Talluri, S.;Iosup, A.;Undirected;1;2019
Abad, C.L.;Łuszczak, A.;Undirected;1;2019
Abad, C.L.;Iosup, A.;Undirected;2;2018
"Łuszczak, A.";Iosup, A.;Undirected;1;2019
Bezemer, C.-P.;Eismann, S.;Undirected;1;2019
Bezemer, C.-P.;Ferme, V.;Undirected;1;2019
Bezemer, C.-P.;Walter, J.;Undirected;1;2019
Bezemer, C.-P.;Willnecker, F.;Undirected;1;2019
Eismann, S.;Ferme, V.;Undirected;1;2019
Eismann, S.;Walter, J.;Undirected;1;2019
Eismann, S.;Willnecker, F.;Undirected;1;2019
Ferme, V.;Walter, J.;Undirected;1;2019
Ferme, V.;Willnecker, F.;Undirected;1;2019
Walter, J.;Willnecker, F.;Undirected;1;2019
Encalada, A.;Orellana Fantoni, C.;Undirected;1;2019
Encalada, A.;Vaca, C.;Undirected;1;2019
Encalada, A.;Gorotiza, J.;Undirected;1;2019
Encalada, A.;Pilco, N.;Undirected;1;2019
Orellana Fantoni, C.;Vaca, C.;Undirected;1;2019
Orellana Fantoni, C.;Gorotiza, J.;Undirected;1;2019
Orellana Fantoni, C.;Pilco, N.;Undirected;1;2019
Vaca, C.;Gorotiza, J.;Undirected;1;2019
Vaca, C.;Pilco, N.;Undirected;1;2019
Gorotiza, J.;Pilco, N.;Undirected;1;2019
Fiallos, A.;Jimenes, K.;Undirected;3;2017
Estrada-Cedeno, P.;Layedra, F.;Undirected;1;2019
Estrada-Cedeno, P.;Castillo-Lopez, G.;Undirected;1;2019
Estrada-Cedeno, P.;Vaca, C.;Undirected;1;2019
Layedra, F.;Castillo-Lopez, G.;Undirected;1;2019
Layedra, F.;Vaca, C.;Undirected;3;2018
Castillo-Lopez, G.;Vaca, C.;Undirected;1;2019
Bayona, O.;Ochoa, D.;Undirected;3;2016
Bayona, O.;Criollo, R.;Undirected;2;2017
Bayona, O.;Cevallos-Cevallos, J.;Undirected;1;2019
Bayona, O.;Liao, W.;Undirected;2;2017
Ochoa, D.;Criollo, R.;Undirected;3;2017
Ochoa, D.;Cevallos-Cevallos, J.;Undirected;1;2019
Ochoa, D.;Liao, W.;Undirected;3;2017
Criollo, R.;Cevallos-Cevallos, J.;Undirected;1;2019
Criollo, R.;Liao, W.;Undirected;2;2017
Cevallos-Cevallos, J.;Liao, W.;Undirected;1;2019
Fiallos, A.;Ochoa, X.;Undirected;3;2017
Van Gheluwe, C.;Lopez, A.J.;Undirected;1;2019
Van Gheluwe, C.;Gautama, S.;Undirected;1;2019
Lopez, A.J.;Gautama, S.;Undirected;3;2015
Cortez, D.;Ponguillo, R.;Undirected;1;2019
Andrade, X.;Layedra, F.;Undirected;1;2019
Andrade, X.;Vaca, C.;Undirected;1;2019
Andrade, X.;Cruz, E.;Undirected;1;2019
Layedra, F.;Cruz, E.;Undirected;1;2019
Vaca, C.;Cruz, E.;Undirected;1;2019
Kuffó, L.;Vaca, C.;Undirected;2;2017
Kuffó, L.;Izquierdo, E.;Undirected;1;2019
Kuffó, L.;Bustamante, J.C.;Undirected;1;2019
Vaca, C.;Izquierdo, E.;Undirected;2;2018
Vaca, C.;Bustamante, J.C.;Undirected;2;2018
Izquierdo, E.;Bustamante, J.C.;Undirected;2;2018
