Source;Target;Type;Weight;year
Soria, X.;Akbarinia, A.;Undirected;1;2018
Sappa, A.D.;Akbarinia, A.;Undirected;1;2018
Ochoa, X.;Domínguez, F.;Undirected;3;2015
Ochoa, X.;Guamán, B.;Undirected;2;2018
Ochoa, X.;Falcones, G.;Undirected;1;2018
Ochoa, X.;Castells, J.;Undirected;2;2018
Domínguez, F.;Guamán, B.;Undirected;1;2018
Domínguez, F.;Falcones, G.;Undirected;1;2018
Domínguez, F.;Castells, J.;Undirected;1;2018
Guamán, B.;Falcones, G.;Undirected;1;2018
Guamán, B.;Castells, J.;Undirected;2;2018
Falcones, G.;Castells, J.;Undirected;3;2017
Echeverria, V.;Granda, R.;Undirected;2;2017
Echeverria, V.;Conati, C.;Undirected;1;2018
Martinez-Maldonado, R.;Granda, R.;Undirected;1;2018
Martinez-Maldonado, R.;Conati, C.;Undirected;1;2018
Granda, R.;Conati, C.;Undirected;1;2018
Granda, R.;Shum, S.B.;Undirected;1;2018
Conati, C.;Shum, S.B.;Undirected;1;2018
Shum, S.B.;Ferguson, R.;Undirected;1;2018
Shum, S.B.;Merceron, A.;Undirected;1;2018
Shum, S.B.;Ochoa, X.;Undirected;1;2018
Ferguson, R.;Merceron, A.;Undirected;1;2018
Ferguson, R.;Ochoa, X.;Undirected;1;2018
Merceron, A.;Ochoa, X.;Undirected;1;2018
Phatak, S.S.;Freigoun, M.T.;Undirected;1;2018
Phatak, S.S.;Martín, C.A.;Undirected;1;2018
Phatak, S.S.;Klasnja, P.;Undirected;1;2018
Phatak, S.S.;Hekler, E.B.;Undirected;2;2018
Freigoun, M.T.;Martín, C.A.;Undirected;1;2018
Freigoun, M.T.;Klasnja, P.;Undirected;1;2018
Freigoun, M.T.;Hekler, E.B.;Undirected;1;2018
Martín, C.A.;Klasnja, P.;Undirected;1;2018
Martín, C.A.;Hekler, E.B.;Undirected;3;2016
Klasnja, P.;Hekler, E.B.;Undirected;1;2018
Velásquez, W.;Munoz-Arcentales, A.;Undirected;3;2018
Velásquez, W.;Chalén, T.M.;Undirected;1;2018
Munoz-Arcentales, A.;Chalén, T.M.;Undirected;1;2018
Munoz-Arcentales, A.;Salvachúa, J.;Undirected;2;2018
Chalén, T.M.;Salvachúa, J.;Undirected;1;2018
Munoz-Arcentales, A.;Montoya, A.;Undirected;1;2018
Munoz-Arcentales, A.;Chalen, M.;Undirected;1;2018
Montoya, A.;Chalen, M.;Undirected;1;2018
Montoya, A.;Velásquez, W.;Undirected;1;2018
Velasquez, W.;Yanez, W.;Undirected;1;2018
Munoz-Arcentales, A.;Yanez, W.;Undirected;1;2018
Munoz-Arcentales, A.;Salvachua, J.;Undirected;1;2018
Yanez, W.;Salvachua, J.;Undirected;1;2018
Mendieta, M.;Martin, C.A.;Undirected;1;2018
Mendieta, M.;Abad, C.L.;Undirected;1;2018
Martin, C.A.;Abad, C.L.;Undirected;1;2018
Campana, F.;Pinargote, A.;Undirected;1;2018
Campana, F.;Pelaez, E.;Undirected;1;2018
Pinargote, A.;Dominguez, F.;Undirected;1;2018
Pinargote, A.;Pelaez, E.;Undirected;1;2018
Dominguez, F.;Pelaez, E.;Undirected;1;2018
Recalde, A.;Quimis, M.;Undirected;1;2018
Recalde, A.;Romero, C.;Undirected;1;2018
Endara, I.;Quimis, M.;Undirected;1;2018
Endara, I.;Romero, C.;Undirected;1;2018
Quimis, M.;Romero, C.;Undirected;1;2018
Torres, J.;Ochoa, A.;Undirected;1;2018
Torres, J.;Jimenez, A.;Undirected;2;2017
Torres, J.;Pelaez, E.;Undirected;1;2018
Torres, J.;Ochoa, X.;Undirected;2;2017
Ochoa, A.;Jimenez, A.;Undirected;1;2018
Ochoa, A.;Pelaez, E.;Undirected;1;2018
Ochoa, A.;Ochoa, X.;Undirected;1;2018
Jimenez, A.;Pelaez, E.;Undirected;1;2018
Jimenez, A.;Ochoa, X.;Undirected;2;2017
Pelaez, E.;Ochoa, X.;Undirected;1;2018
Castro, S.J.;Boza, E.F.;Undirected;1;2018
Castro, S.J.;Abad, C.L.;Undirected;1;2018
Loayza, K.;Pelaez, E.;Undirected;1;2018
Lucas, P.;Pelaez, E.;Undirected;1;2018
Jurado, D.;Maya, R.;Undirected;1;2018
Jurado, D.;Dominguez, F.;Undirected;1;2018
Jurado, D.;Ochoa, X.;Undirected;1;2018
Maya, R.;Dominguez, F.;Undirected;1;2018
Maya, R.;Ochoa, X.;Undirected;1;2018
Boza, E.F.;Plaza, J.A.;Undirected;1;2018
Abad, C.L.;Plaza, J.A.;Undirected;1;2018
Villavicencio, M.;Plaza, J.A.;Undirected;1;2018
Quimba, S.;Plaza, J.A.;Undirected;1;2018
Asanza, V.;Martin, C.A.;Undirected;1;2018
Asanza, V.;Eslambolchilar, P.;Undirected;1;2018
Asanza, V.;Cajo, R.;Undirected;1;2018
Asanza, V.;Salazar, C.;Undirected;1;2018
Martin, C.A.;Eslambolchilar, P.;Undirected;1;2018
Martin, C.A.;Cajo, R.;Undirected;1;2018
Martin, C.A.;Salazar, C.;Undirected;1;2018
Eslambolchilar, P.;Cajo, R.;Undirected;1;2018
Eslambolchilar, P.;Salazar, C.;Undirected;1;2018
Cajo, R.;Salazar, C.;Undirected;1;2018
Cajo, R.;Godoy, C.;Undirected;1;2018
Cajo, R.;Romero, J.;Undirected;1;2018
Cajo, R.;Bosquez, C.;Undirected;1;2018
Cajo, R.;Huilcapi, V.;Undirected;1;2018
Godoy, C.;Romero, J.;Undirected;1;2018
Godoy, C.;Bosquez, C.;Undirected;1;2018
Godoy, C.;Huilcapi, V.;Undirected;1;2018
Romero, J.;Bosquez, C.;Undirected;1;2018
Romero, J.;Huilcapi, V.;Undirected;1;2018
Bosquez, C.;Huilcapi, V.;Undirected;1;2018
Valle, D.;Villavicencio, J.;Undirected;1;2018
Valle, D.;Muñoz, L.;Undirected;1;2018
Valle, D.;Molina, M.;Undirected;1;2018
Valle, D.;Ponguillo, R.;Undirected;1;2018
Villavicencio, J.;Muñoz, L.;Undirected;1;2018
Villavicencio, J.;Molina, M.;Undirected;1;2018
Villavicencio, J.;Ponguillo, R.;Undirected;1;2018
Muñoz, L.;Molina, M.;Undirected;1;2018
Muñoz, L.;Ponguillo, R.;Undirected;1;2018
Molina, M.;Ponguillo, R.;Undirected;1;2018
Veriñaz, H.I.;Vela, E.M.;Undirected;2;2017
Veriñaz, H.I.;Ponguillo, R.A.;Undirected;2;2017
Vela, E.M.;Ponguillo, R.A.;Undirected;2;2017
Ochoa, X.;Chiluiza, K.;Undirected;3;2015
Ochoa, X.;Granda, R.;Undirected;1;2018
Chiluiza, K.;Granda, R.;Undirected;3;2016
Chiluiza, K.;Castells, J.;Undirected;3;2017
Chiluiza, K.;Guamán, B.;Undirected;2;2015
Granda, R.;Castells, J.;Undirected;2;2017
Granda, R.;Guamán, B.;Undirected;1;2018
Villavicencio, M.;Pincay, J.;Undirected;4;2017
Villavicencio, M.;Desiderio, K.;Undirected;1;2018
Pincay, J.;Desiderio, K.;Undirected;1;2018
Pincay, J.;Quimba, S.;Undirected;1;2018
Desiderio, K.;Quimba, S.;Undirected;1;2018
Torres, J.;Ortiz, K.;Undirected;1;2018
Torres, J.;García, J.;Undirected;1;2018
Ortiz, K.;García, J.;Undirected;1;2018
Ortiz, K.;Vaca, C.;Undirected;2;2017
García, J.;Vaca, C.;Undirected;1;2018
Jiménes, K.;Pincay, J.;Undirected;1;2018
Jiménes, K.;Villavicencio, M.;Undirected;1;2018
Jiménes, K.;Jiménez, A.;Undirected;1;2018
Pincay, J.;Jiménez, A.;Undirected;1;2018
Villavicencio, M.;Jiménez, A.;Undirected;1;2018
Rosero, S.;Jimenez, A.;Undirected;1;2018
Herrera, E.V.;Vela, E.M.;Undirected;1;2018
Herrera, E.V.;Arce, V.A.;Undirected;1;2018
Herrera, E.V.;Molina, K.G.;Undirected;1;2018
Herrera, E.V.;Plaza, D.A.;Undirected;1;2018
Vela, E.M.;Arce, V.A.;Undirected;1;2018
Vela, E.M.;Molina, K.G.;Undirected;1;2018
Vela, E.M.;Plaza, D.A.;Undirected;1;2018
Arce, V.A.;Molina, K.G.;Undirected;1;2018
Arce, V.A.;Plaza, D.A.;Undirected;1;2018
Molina, K.G.;Plaza, D.A.;Undirected;1;2018
Flores, M.;Garzon, A.;Undirected;1;2018
Flores, M.;Arce, V.;Undirected;1;2018
Flores, M.;Plaza, D.;Undirected;1;2018
Garzon, A.;Arce, V.;Undirected;1;2018
Garzon, A.;Plaza, D.;Undirected;1;2018
Arce, V.;Plaza, D.;Undirected;1;2018
Coque, S.;Villavicencio, M.;Undirected;1;2018
Da Silva, B.;Braeken, A.;Undirected;3;2017
Da Silva, B.;Domínguez, F.;Undirected;1;2018
Da Silva, B.;Touhafi, A.;Undirected;3;2017
Braeken, A.;Domínguez, F.;Undirected;1;2018
Braeken, A.;Touhafi, A.;Undirected;3;2017
Domínguez, F.;Touhafi, A.;Undirected;1;2018
Echeverria, V.;Power, T.;Undirected;1;2018
Echeverria, V.;Hayes, C.;Undirected;1;2018
Martinez-Maldonado, R.;Power, T.;Undirected;1;2018
Martinez-Maldonado, R.;Hayes, C.;Undirected;1;2018
Power, T.;Hayes, C.;Undirected;1;2018
Power, T.;Shum, S.B.;Undirected;1;2018
Hayes, C.;Shum, S.B.;Undirected;1;2018
Garcia, J.C.;Avendaño, A.;Undirected;1;2018
Garcia, J.C.;Vaca, C.;Undirected;1;2018
Avendaño, A.;Vaca, C.;Undirected;2;2017
Gutiérrez, F.;Seipp, K.;Undirected;1;2018
Gutiérrez, F.;Ochoa, X.;Undirected;1;2018
Gutiérrez, F.;De Laet, T.;Undirected;1;2018
Gutiérrez, F.;Verbert, K.;Undirected;1;2018
Seipp, K.;Ochoa, X.;Undirected;1;2018
Seipp, K.;De Laet, T.;Undirected;1;2018
Seipp, K.;Verbert, K.;Undirected;1;2018
Ochoa, X.;De Laet, T.;Undirected;1;2018
Ochoa, X.;Verbert, K.;Undirected;3;2015
De Laet, T.;Verbert, K.;Undirected;1;2018
Cordova-Garcia, J.;Xie, D.;Undirected;1;2018
Cordova-Garcia, J.;Zhao, Y.;Undirected;1;2018
Cordova-Garcia, J.;Zuo, L.;Undirected;1;2018
Wang, X.;Xie, D.;Undirected;1;2018
Wang, X.;Zhao, Y.;Undirected;1;2018
Wang, X.;Zuo, L.;Undirected;1;2018
Xie, D.;Zhao, Y.;Undirected;1;2018
Xie, D.;Zuo, L.;Undirected;1;2018
Zhao, Y.;Zuo, L.;Undirected;1;2018
Rodes, V.;Cechinel, C.;Undirected;1;2018
Rodes, V.;Dos Santos, H.L.;Undirected;1;2018
Rodes, V.;Ochoa, X.;Undirected;1;2018
Rodes, V.;Alonso, G.E.;Undirected;1;2018
Cechinel, C.;Ochoa, X.;Undirected;2;2017
Dos Santos, H.L.;Ochoa, X.;Undirected;2;2017
Ochoa, X.;Alonso, G.E.;Undirected;1;2018
Martinez-Maldonado, R.;Prieto, L.P.;Undirected;1;2018
Martinez-Maldonado, R.;Ochoa, X.;Undirected;1;2018
Martinez-Maldonado, R.;Worsley, M.;Undirected;1;2018
Echeverria, V.;Prieto, L.P.;Undirected;1;2018
Echeverria, V.;Ochoa, X.;Undirected;1;2018
Echeverria, V.;Worsley, M.;Undirected;1;2018
Prieto, L.P.;Ochoa, X.;Undirected;2;2017
Prieto, L.P.;Worsley, M.;Undirected;2;2017
Ochoa, X.;Worsley, M.;Undirected;3;2015
Esparragoza, I.E.;Ocampo, J.;Undirected;1;2018
Esparragoza, I.E.;Rodriguez, J.;Undirected;1;2018
Esparragoza, I.E.;Lascano, S.;Undirected;1;2018
Esparragoza, I.E.;Ivashyn, U.;Undirected;1;2018
Ocampo, J.;Rodriguez, J.;Undirected;1;2018
Ocampo, J.;Lascano, S.;Undirected;1;2018
Ocampo, J.;Ivashyn, U.;Undirected;1;2018
Rodriguez, J.;Lascano, S.;Undirected;1;2018
Rodriguez, J.;Ivashyn, U.;Undirected;1;2018
Lascano, S.;Ivashyn, U.;Undirected;1;2018
Castro, R.;Ochoa, D.;Undirected;3;2016
Castro, R.;Criollo, R.;Undirected;2;2017
Castro, R.;Vaca, C.;Undirected;2;2017
Murillo, J.R.;Totoy, G.;Undirected;1;2017
Murillo, J.R.;Abad, C.L.;Undirected;1;2017
Totoy, G.;Abad, C.L.;Undirected;1;2017
Torres, J.;Abad, C.L.;Undirected;1;2017
Vaca, C.;Abad, C.L.;Undirected;1;2017
Ullón, H.;Zambrano, D.;Undirected;1;2017
Ullón, H.;Domínguez, F.;Undirected;1;2017
Zambrano, D.;Domínguez, F.;Undirected;1;2017
Dos Santos, H.L.;Nunes, J.B.C.;Undirected;1;2017
Cechinel, C.;Nunes, J.B.C.;Undirected;1;2017
Nunes, J.B.C.;Ochoa, X.;Undirected;1;2017
Luzardo, G.;Philips, W.;Undirected;1;2017
Aelterman, J.;Philips, W.;Undirected;1;2017
Luong, H.;Philips, W.;Undirected;1;2017
Rodríguez-Echeverría, J.;Gautama, S.;Undirected;1;2017
Rodríguez-Echeverría, J.;Ochoa, D.;Undirected;1;2017
Gautama, S.;Ochoa, D.;Undirected;3;2015
Narvaez, R.B.;Villacis, D.M.;Undirected;1;2017
Narvaez, R.B.;Chalen, T.M.;Undirected;1;2017
Narvaez, R.B.;Velasquez, W.;Undirected;1;2017
Villacis, D.M.;Chalen, T.M.;Undirected;1;2017
Villacis, D.M.;Velasquez, W.;Undirected;1;2017
Chalen, T.M.;Velasquez, W.;Undirected;1;2017
Liao, W.;Donoso, D.E.O.;Undirected;1;2017
Liao, W.;Van Coillie, F.;Undirected;1;2017
Liao, W.;Gautama, S.;Undirected;1;2017
Donoso, D.E.O.;Van Coillie, F.;Undirected;1;2017
Donoso, D.E.O.;Gautama, S.;Undirected;1;2017
Donoso, D.E.O.;Philips, W.;Undirected;1;2017
Van Coillie, F.;Gautama, S.;Undirected;1;2017
Van Coillie, F.;Philips, W.;Undirected;1;2017
Gautama, S.;Philips, W.;Undirected;1;2017
Douglas, A.;Idrovo, R.M.;Undirected;1;2017
Douglas, A.;Valencia, A.J.;Undirected;1;2017
Douglas, A.;Lopez, C.S.;Undirected;1;2017
Idrovo, R.M.;Valencia, A.J.;Undirected;2;2017
Idrovo, R.M.;Lopez, C.S.;Undirected;1;2017
Valencia, A.J.;Lopez, C.S.;Undirected;1;2017
Da Silva, B.;Dominguez, F.;Undirected;2;2017
Dominguez, F.;Braeken, A.;Undirected;2;2017
Dominguez, F.;Touhafi, A.;Undirected;2;2017
Rivera, D.E.;Martín, C.A.;Undirected;2;2016
Rivera, D.E.;Timms, K.P.;Undirected;1;2017
Rivera, D.E.;Nandola, N.N.;Undirected;1;2017
Rivera, D.E.;Hekler, E.B.;Undirected;5;2015
Martín, C.A.;Timms, K.P.;Undirected;1;2017
Martín, C.A.;Nandola, N.N.;Undirected;1;2017
Timms, K.P.;Nandola, N.N.;Undirected;1;2017
Timms, K.P.;Hekler, E.B.;Undirected;1;2017
Nandola, N.N.;Hekler, E.B.;Undirected;1;2017
Morales, L.E.M.;Monsalve, C.;Undirected;2;2016
Morales, L.E.M.;Villavicencio, M.;Undirected;2;2016
Monsalve, C.;Villavicencio, M.;Undirected;2;2016
Castro, R.;Kuffó, L.;Undirected;1;2017
Jimenez, A.;García, S.;Undirected;1;2017
Jimenez, A.;Peláez, E.;Undirected;1;2017
García, S.;Ochoa, X.;Undirected;1;2017
Peláez, E.;Ochoa, X.;Undirected;3;2015
Lozano, E.;Cedeño, J.;Undirected;1;2017
Lozano, E.;Castillo, G.;Undirected;1;2017
Lozano, E.;Lasso, H.;Undirected;1;2017
Lozano, E.;Vaca, C.;Undirected;2;2017
Cedeño, J.;Castillo, G.;Undirected;1;2017
Cedeño, J.;Lasso, H.;Undirected;1;2017
Cedeño, J.;Vaca, C.;Undirected;1;2017
Castillo, G.;Lasso, H.;Undirected;1;2017
Lasso, H.;Vaca, C.;Undirected;1;2017
Velasco, M.;San Lucas, C.;Undirected;1;2017
Velasco, M.;Ortiz, K.;Undirected;1;2017
Velasco, M.;Vélez, J.;Undirected;1;2017
Velasco, M.;Vaca, C.;Undirected;1;2017
San Lucas, C.;Ortiz, K.;Undirected;1;2017
San Lucas, C.;Vélez, J.;Undirected;1;2017
San Lucas, C.;Vaca, C.;Undirected;1;2017
Ortiz, K.;Vélez, J.;Undirected;1;2017
Vélez, J.;Vaca, C.;Undirected;1;2017
Fiallos, A.;Vaca, C.;Undirected;1;2017
Jimenes, K.;Vaca, C.;Undirected;1;2017
Jimenes, K.;Ochoa, X.;Undirected;1;2017
Vaca, C.;Ochoa, X.;Undirected;1;2017
Zambrano, O.;Avendaño, A.;Undirected;1;2017
Zambrano, O.;Yanez, W.;Undirected;1;2017
Zambrano, O.;Vaca, C.;Undirected;1;2017
Avendaño, A.;Yanez, W.;Undirected;1;2017
Yanez, W.;Vaca, C.;Undirected;1;2017
Echeverria, V.;Falcones, G.;Undirected;2;2017
Echeverria, V.;Castells, J.;Undirected;2;2017
Echeverria, V.;Chiluiza, K.;Undirected;4;2015
Falcones, G.;Martinez-Maldonado, R.;Undirected;1;2017
Falcones, G.;Chiluiza, K.;Undirected;3;2016
Castells, J.;Martinez-Maldonado, R.;Undirected;1;2017
Martinez-Maldonado, R.;Chiluiza, K.;Undirected;2;2017
Wong-Villacres, M.;Ehsan, U.;Undirected;1;2017
Wong-Villacres, M.;Solomon, A.;Undirected;1;2017
Wong-Villacres, M.;Buil, M.P.;Undirected;1;2017
Wong-Villacres, M.;Disalvo, B.;Undirected;1;2017
Ehsan, U.;Solomon, A.;Undirected;1;2017
Ehsan, U.;Buil, M.P.;Undirected;1;2017
Ehsan, U.;Disalvo, B.;Undirected;1;2017
Solomon, A.;Buil, M.P.;Undirected;1;2017
Solomon, A.;Disalvo, B.;Undirected;1;2017
Buil, M.P.;Disalvo, B.;Undirected;1;2017
Valencia, A.J.;Sappa, A.D.;Undirected;1;2017
Valencia, A.J.;Guingla, D.P.;Undirected;1;2017
Valencia, A.J.;Ochoa, D.;Undirected;1;2017
Idrovo, R.M.;Sappa, A.D.;Undirected;1;2017
Idrovo, R.M.;Guingla, D.P.;Undirected;1;2017
Idrovo, R.M.;Ochoa, D.;Undirected;1;2017
Sappa, A.D.;Guingla, D.P.;Undirected;1;2017
Sappa, A.D.;Ochoa, D.;Undirected;1;2017
Guingla, D.P.;Ochoa, D.;Undirected;1;2017
Puente, S.C.;Madrid, C.E.;Undirected;1;2017
Puente, S.C.;Realpe, M.;Undirected;1;2017
Puente, S.C.;Vintimilla, B.X.;Undirected;1;2017
Madrid, C.E.;Realpe, M.;Undirected;1;2017
Madrid, C.E.;Vintimilla, B.X.;Undirected;1;2017
Realpe, M.;Vintimilla, B.X.;Undirected;2;2016
Alvarado, A.;Bajaña, B.;Undirected;1;2017
Alvarado, A.;Munoz, J.A.;Undirected;1;2017
Alvarado, A.;Velásquez, W.;Undirected;1;2017
Bajaña, B.;Munoz, J.A.;Undirected;1;2017
Bajaña, B.;Velásquez, W.;Undirected;1;2017
Munoz, J.A.;Velásquez, W.;Undirected;1;2017
Boza, E.F.;San-Lucas, C.;Undirected;1;2017
Boza, E.F.;Viteri, J.A.;Undirected;1;2017
San-Lucas, C.;Abad, C.L.;Undirected;2;2016
San-Lucas, C.;Viteri, J.A.;Undirected;1;2017
Abad, C.L.;Viteri, J.A.;Undirected;1;2017
Abad, C.L.;Abad, A.G.;Undirected;1;2017
Abad, C.L.;Lucio, L.E.;Undirected;1;2017
Abad, A.G.;Lucio, L.E.;Undirected;1;2017
Xie, Q.;Pundir, M.;Undirected;1;2017
Xie, Q.;Lu, Y.;Undirected;1;2017
Xie, Q.;Abad, C.L.;Undirected;1;2017
Xie, Q.;Campbell, R.H.;Undirected;1;2017
Pundir, M.;Lu, Y.;Undirected;1;2017
Pundir, M.;Abad, C.L.;Undirected;1;2017
Pundir, M.;Campbell, R.H.;Undirected;1;2017
Lu, Y.;Abad, C.L.;Undirected;1;2017
Lu, Y.;Campbell, R.H.;Undirected;1;2017
Abad, C.L.;Campbell, R.H.;Undirected;1;2017
Vaca, C.;Peláez, E.;Undirected;2;2016
Molenaar, I.;Ochoa, X.;Undirected;1;2017
Molenaar, I.;Dawson, S.;Undirected;1;2017
Ochoa, X.;Dawson, S.;Undirected;1;2017
Spikol, D.;Worsley, M.;Undirected;1;2017
Spikol, D.;Prieto, L.P.;Undirected;2;2017
Spikol, D.;Rodríguez-Triana, M.J.;Undirected;2;2017
Spikol, D.;Cukurova, M.;Undirected;1;2017
Worsley, M.;Rodríguez-Triana, M.J.;Undirected;1;2017
Worsley, M.;Cukurova, M.;Undirected;1;2017
Prieto, L.P.;Rodríguez-Triana, M.J.;Undirected;2;2017
Prieto, L.P.;Cukurova, M.;Undirected;1;2017
Rodríguez-Triana, M.J.;Cukurova, M.;Undirected;1;2017
Munoz-Arcentales, A.;Yánez-Pazmino, W.;Undirected;1;2017
Munoz-Arcentales, A.;Vargas, W.V.;Undirected;2;2017
Yánez-Pazmino, W.;Vargas, W.V.;Undirected;1;2017
Vargas, W.V.;Rodríguez, J.S.;Undirected;1;2017
Munoz-Arcentales, A.;Rodríguez, J.S.;Undirected;1;2017
Villavicencio, M.;Revelo, H.V.;Undirected;1;2017
Revelo, H.V.;Pincay, J.;Undirected;1;2017
Morales, L.E.M.;Capel, M.I.;Undirected;1;2017
Veriñaz Jadan, H.I.;Martinez Vera, C.R.;Undirected;1;2017
Veriñaz Jadan, H.I.;Ponguillo, R.A.;Undirected;1;2017
Veriñaz Jadan, H.I.;Padilla, V.S.;Undirected;1;2017
Martinez Vera, C.R.;Ponguillo, R.A.;Undirected;1;2017
Martinez Vera, C.R.;Padilla, V.S.;Undirected;1;2017
Espinoza, J.R.;Padilla, V.S.;Undirected;2;2017
Espinoza, J.R.;Velasquez, W.;Undirected;1;2017
Padilla, V.S.;Velasquez, W.;Undirected;1;2017
Carrillo, G.E.;Villavicencio, M.;Undirected;1;2017
Carrillo, G.E.;Pincay, J.;Undirected;1;2017
Carrillo, G.E.;Boza, E.F.;Undirected;1;2017
Pincay, J.;Boza, E.F.;Undirected;1;2017
Lucas, P.;Astudillo, E.;Undirected;2;2015
Astudillo, E.;Peláez, E.;Undirected;2;2015
Oyola, A.;Romero, D.G.;Undirected;1;2017
Oyola, A.;Vintimilla, B.X.;Undirected;1;2017
Romero, D.G.;Vintimilla, B.X.;Undirected;2;2015
Peralta, J.A.;Padilla, V.S.;Undirected;1;2017
Peralta, J.A.;Espinoza, J.R.;Undirected;1;2017
Lopez, A.J.;Semanjski, I.;Undirected;1;2017
Lopez, A.J.;Ochoa, D.;Undirected;2;2015
Semanjski, I.;Gautama, S.;Undirected;1;2017
Semanjski, I.;Ochoa, D.;Undirected;1;2017
Falcones, G.;Granda, R.;Undirected;1;2017
Echeverria, V.;Buckingham Shum, S.;Undirected;1;2017
Martinez-Maldonado, R.;Buckingham Shum, S.;Undirected;1;2017
Chiluiza, K.;Buckingham Shum, S.;Undirected;1;2017
Aguilera, C.;Soria, X.;Undirected;1;2017
Aguilera, C.;Sappa, A.D.;Undirected;1;2017
Aguilera, C.;Toledo, R.;Undirected;1;2017
Soria, X.;Toledo, R.;Undirected;1;2017
Sappa, A.D.;Toledo, R.;Undirected;5;2015
Liao, W.;Castro, R.;Undirected;1;2017
Castro, R.;Bayona, O.;Undirected;2;2016
Mendoza, L.E.;Capel, M.I.;Undirected;1;2017
Mendieta, J.;Villavicencio, M.;Undirected;1;2017
Baquerizo, G.;Villavicencio, M.;Undirected;2;2016
Villavicencio, M.;Vaca, C.;Undirected;2;2016
Carvajal, J.A.;Romero, D.G.;Undirected;1;2017
Carvajal, J.A.;Sappa, A.D.;Undirected;1;2017
Romero, D.G.;Sappa, A.D.;Undirected;2;2015
Prieto, L.P.;Martínez-Maldonado, R.;Undirected;1;2017
Martínez-Maldonado, R.;Spikol, D.;Undirected;1;2017
Martínez-Maldonado, R.;Rodríguez-Triana, M.J.;Undirected;1;2017
Martínez-Maldonado, R.;Ochoa, X.;Undirected;1;2017
Spikol, D.;Ochoa, X.;Undirected;1;2017
Rodríguez-Triana, M.J.;Ochoa, X.;Undirected;1;2017
Aguilera, C.A.;Aguilera, F.J.;Undirected;1;2016
Aguilera, C.A.;Sappa, A.D.;Undirected;4;2015
Aguilera, C.A.;Toledo, R.;Undirected;4;2015
Aguilera, F.J.;Sappa, A.D.;Undirected;1;2016
Aguilera, F.J.;Toledo, R.;Undirected;1;2016
Cadena, A.;Carvajal, R.;Undirected;1;2016
Cadena, A.;Guaman, B.;Undirected;1;2016
Cadena, A.;Pelaez, E.;Undirected;1;2016
Cadena, A.;Chiluiza, K.;Undirected;1;2016
Carvajal, R.;Guaman, B.;Undirected;1;2016
Carvajal, R.;Pelaez, E.;Undirected;1;2016
Carvajal, R.;Chiluiza, K.;Undirected;1;2016
Guaman, B.;Pelaez, E.;Undirected;1;2016
Guaman, B.;Chiluiza, K.;Undirected;1;2016
Pelaez, E.;Chiluiza, K.;Undirected;1;2016
Falcones, G.;Wong-Villacres, M.;Undirected;1;2016
Falcones, G.;Barzola, V.E.;Undirected;1;2016
Wong-Villacres, M.;Barzola, V.E.;Undirected;2;2016
Wong-Villacres, M.;Chiluiza, K.;Undirected;2;2015
Barzola, V.E.;Chiluiza, K.;Undirected;1;2016
Asanza, V.;Ochoa, K.;Undirected;1;2016
Asanza, V.;Sacarelo, C.;Undirected;1;2016
Asanza, V.;Vaca, C.;Undirected;1;2016
Ochoa, K.;Sacarelo, C.;Undirected;1;2016
Ochoa, K.;Vaca, C.;Undirected;1;2016
Ochoa, K.;Pelaez, E.;Undirected;1;2016
Sacarelo, C.;Vaca, C.;Undirected;1;2016
Sacarelo, C.;Pelaez, E.;Undirected;1;2016
Vaca, C.;Pelaez, E.;Undirected;1;2016
Pita, O.;Baquerizo, G.;Undirected;1;2016
Pita, O.;Vaca, C.;Undirected;1;2016
Pita, O.;Villavicencio, M.;Undirected;1;2016
Pita, O.;Rodriguez, J.;Undirected;1;2016
Baquerizo, G.;Rodriguez, J.;Undirected;1;2016
Vaca, C.;Rodriguez, J.;Undirected;1;2016
Villavicencio, M.;Rodriguez, J.;Undirected;1;2016
Martin, C.A.;Rivera, D.E.;Undirected;3;2015
Martin, C.A.;Hekler, E.B.;Undirected;4;2015
Sappa, A.D.;Carvajal Ayala, J.A.;Undirected;1;2016
Aguilera, C.A.;Carvajal Ayala, J.A.;Undirected;1;2016
Aguilera, C.A.;Vintimilla, B.X.;Undirected;1;2016
Carvajal Ayala, J.A.;Vintimilla, B.X.;Undirected;1;2016
Carvajal Ayala, J.A.;Toledo, R.;Undirected;1;2016
Vintimilla, B.X.;Toledo, R.;Undirected;1;2016
Oliveira, M.;Dias, P.;Undirected;3;2016
Oliveira, M.;Moreira, A.P.;Undirected;2;2016
Santos, V.;Dias, P.;Undirected;3;2016
Santos, V.;Moreira, A.P.;Undirected;2;2016
Sappa, A.D.;Dias, P.;Undirected;3;2016
Sappa, A.D.;Moreira, A.P.;Undirected;2;2016
Dias, P.;Moreira, A.P.;Undirected;2;2016
Marin-Garcia, I.;Ramirez-Aguilera, A.M.;Undirected;1;2016
Marin-Garcia, I.;Guerra, V.;Undirected;1;2016
Marin-Garcia, I.;Rabadan, J.;Undirected;1;2016
Marin-Garcia, I.;Perez-Jimenez, R.;Undirected;2;2015
Ramirez-Aguilera, A.M.;Guerra, V.;Undirected;1;2016
Ramirez-Aguilera, A.M.;Rabadan, J.;Undirected;1;2016
Ramirez-Aguilera, A.M.;Perez-Jimenez, R.;Undirected;1;2016
Realpe, M.;Vlacic, L.;Undirected;2;2015
Vintimilla, B.X.;Vlacic, L.;Undirected;1;2016
