source,target,peso
8634,14131,1
8634,31802,1
8069,12063,1
8069,36342,1
8069,26028,1
8069,25050,2
12063,36342,1
12063,26028,1
12063,25050,1
26028,36342,1
25050,36342,1
25050,26028,1
1402,8581,1
8581,21648,1
8581,15655,1
8581,32910,1
1402,21648,1
1402,15655,1
1402,32910,1
15655,21648,1
21648,32910,1
15655,32910,1
5317,29980,1
17525,29980,1
12275,29980,1
2545,29980,1
5317,17525,1
5317,12275,1
2545,5317,1
12275,17525,1
2545,17525,1
2545,12275,1
7545,35383,1
4361,35383,1
21,35383,1
34350,35383,1
4361,7545,1
21,7545,1
7545,34350,1
21,4361,1
4361,34350,1
21,34350,1
14209,29881,1
11824,29881,1
19677,29881,2
11824,14209,1
14209,19677,1
11824,19677,1
3333,33197,2
13528,34350,6
23115,34350,2
13528,23115,2
15887,21966,1
2928,21966,1
10008,21966,1
21966,30431,1
2928,15887,1
10008,15887,1
15887,30431,1
2928,10008,1
2928,30431,1
10008,30431,1
17506,31861,1
26476,31861,1
5504,31861,1
15754,31861,1
17506,26476,1
5504,17506,1
15754,17506,1
5504,26476,1
15754,26476,1
5504,15754,1
15378,23411,1
23411,35046,1
1132,23411,1
23411,25308,1
15378,35046,1
1132,15378,1
15378,25308,1
1132,35046,1
25308,35046,1
1132,25308,1
24597,34484,1
9450,34484,1
22716,34484,2
7351,34484,2
9450,24597,2
22716,24597,2
7351,24597,2
9450,22716,2
7351,9450,2
7351,22716,4
799,8071,1
799,31199,2
799,28074,2
8071,31199,1
8071,28074,1
28074,31199,2
12807,14041,1
9231,14041,2
14041,20530,4
10966,14041,3
9231,12807,1
12807,20530,1
10966,12807,1
9231,20530,2
9231,10966,6
10966,20530,3
13349,35067,1
13349,24134,2
13349,29547,1
24134,35067,1
29547,35067,3
7980,35067,1
24134,29547,1
7980,24134,1
7980,29547,1
3575,3929,1
3575,35840,1
3929,35840,1
7744,27335,1
4099,27335,1
4392,27335,2
4099,7744,1
4392,7744,2
4099,4392,2
9115,24338,2
9115,34350,1
9115,15871,1
24338,34350,2
15871,24338,1
15871,34350,1
25651,26552,1
5511,25651,1
20524,25651,1
8014,25651,1
5511,26552,1
20524,26552,1
8014,26552,1
5511,20524,1
5511,8014,1
8014,20524,3
1947,18204,2
9403,18204,1
2622,18204,1
1947,9403,1
1947,2622,1
2622,9403,1
5466,22851,1
5466,10633,1
2025,5466,1
5466,26994,1
10633,22851,1
2025,22851,1
22851,26994,1
2025,10633,1
10633,26994,1
2025,26994,1
13914,17585,1
3317,17585,1
17585,33506,1
17585,24687,4
3317,13914,1
13914,33506,1
13914,24687,3
3317,33506,1
3317,24687,2
24687,33506,1
15135,26754,1
3337,26754,1
3337,15135,5
9630,28973,1
9630,25996,2
9630,36172,1
25996,28973,1
28973,36172,1
25996,36172,1
13374,17263,1
13374,26547,1
10511,13374,1
13374,17698,1
17263,26547,1
10511,17263,1
17263,17698,1
10511,26547,1
17698,26547,1
10511,17698,1
13013,21057,1
1626,24641,1
24641,34679,1
24641,36524,3
24641,34398,1
1626,34679,1
1626,36524,1
1626,34398,1
34679,36524,3
34398,34679,1
34398,36524,1
2483,17552,5
2483,17811,15
17552,17811,5
29020,29267,1
15002,29267,1
28211,29267,1
3556,29020,1
15002,29020,1
28211,29020,1
3556,15002,1
3556,28211,1
15002,28211,1
5635,20230,1
5635,22247,1
5635,16157,1
2176,5635,1
20230,22247,1
16157,20230,1
2176,20230,1
16157,22247,1
2176,22247,1
2176,16157,1
999,33988,2
31388,33988,2
999,31388,2
14485,28044,8
14485,25922,2
25922,28044,2
4771,35802,1
4771,11683,1
4243,4771,1
4771,4906,1
11683,35802,1
4243,35802,1
4906,35802,1
4243,11683,1
4906,11683,3
4243,4906,1
23106,26254,1
22568,26254,1
5652,26254,1
11363,26254,1
22568,23106,1
5652,23106,1
11363,23106,1
5652,22568,1
11363,22568,1
5652,11363,1
2784,29881,1
2784,19677,1
3232,24921,4
3232,21911,4
3232,7700,4
21911,24921,4
7700,24921,4
7700,21911,4
260,9902,4
260,7502,4
260,30794,5
7502,9902,5
9902,30794,5
7502,30794,8
20109,32790,1
9702,32790,1
24849,32790,1
9702,20109,1
20109,24849,2
9702,24849,1
13598,29654,1
4989,13598,1
13598,23434,3
10563,13598,1
4989,29654,1
23434,29654,1
10563,29654,2
4989,23434,1
4989,10563,1
10563,23434,1
13325,31203,3
12538,31203,1
1744,31203,2
25707,31203,4
12538,13325,1
1744,13325,2
13325,25707,2
1744,12538,1
12538,25707,1
1744,25707,1
6056,35901,1
6056,10611,1
6056,33824,1
6056,35711,1
10611,35901,1
33824,35901,1
35711,35901,1
10611,33824,1
10611,35711,1
33824,35711,1
12779,25874,2
12779,25697,2
3101,12779,2
3337,12779,4
25697,25874,1
3101,25874,1
3101,25697,2
3337,25697,2
3101,3337,2
29949,36457,1
2506,29949,1
20524,29949,1
26651,29949,1
2506,36457,1
20524,36457,1
2506,20524,1
2506,26651,1
20524,26651,1
16878,24849,2
16878,35299,1
3388,16878,1
24849,35299,4
3388,24849,2
3388,35299,2
4017,36383,1
3377,36383,1
33926,36383,1
15465,36383,1
3377,4017,1
4017,33926,1
4017,15465,1
3377,33926,1
3377,15465,1
15465,33926,1
26370,28843,5
1615,15851,3
15851,16827,3
15851,33118,1
1615,16827,3
1615,33118,1
16827,33118,1
28906,36045,2
19874,28906,6
19874,36045,4
12993,24828,1
12993,17434,2
17434,24828,1
30411,34985,2
34849,34985,1
1033,34985,2
17156,34985,2
30411,34849,1
1033,30411,2
17156,30411,2
1033,34849,1
17156,34849,2
1033,17156,3
25336,26401,2
10566,26401,1
20791,26401,2
9463,26401,2
10566,25336,1
20791,25336,3
9463,25336,3
10566,20791,1
9463,10566,1
9463,20791,4
1812,11215,4
11215,20400,1
11215,35812,1
5835,11215,4
1812,20400,1
1812,35812,1
1812,5835,2
20400,35812,1
5835,20400,1
5835,35812,1
11929,32385,1
11929,28947,1
11929,25997,2
28947,32385,1
25997,32385,1
25997,28947,1
63,9646,1
63,1343,5
1343,9646,1
9045,16766,2
5805,9045,3
5805,16766,4
14721,26517,3
14721,31759,1
14721,26152,1
26517,31759,5
26152,26517,1
26152,31759,1
10787,12275,1
10787,16573,1
10787,18054,2
10787,19129,2
12275,16573,2
12275,18054,1
12275,19129,2
16573,18054,1
16573,19129,2
18054,19129,2
21440,25051,1
25051,28746,1
23214,25051,1
25051,27731,1
21440,28746,1
21440,23214,1
21440,27731,1
23214,28746,1
27731,28746,1
23214,27731,1
24467,36259,1
10318,36259,5
20407,36259,3
4344,36259,9
10318,24467,1
20407,24467,1
4344,24467,1
10318,20407,3
4344,10318,5
4344,20407,4
1961,16109,1
205,16109,1
16109,26572,1
16109,23424,1
205,1961,3
1961,26572,3
1961,23424,1
205,26572,2
205,23424,1
23424,26572,2
22308,24377,1
8033,22308,1
8033,24377,3
16179,27703,2
27703,33824,4
25180,27703,1
14556,27703,4
16179,33824,1
16179,25180,1
14556,16179,2
25180,33824,1
14556,33824,2
14556,25180,1
10104,23069,1
19732,23069,1
10104,19732,1
2682,29749,1
4278,33151,1
4278,30910,1
4278,9637,1
4278,5167,1
9637,33151,1
5167,33151,1
9637,30910,1
5167,30910,1
5167,9637,1
6741,12587,1
5282,12587,2
12587,30554,2
12587,24083,3
5282,6741,1
6741,30554,1
6741,24083,1
5282,30554,2
5282,24083,2
24083,30554,5
4829,10767,1
10767,22043,1
10767,31438,1
10021,10767,1
4829,22043,1
4829,31438,6
4829,10021,1
22043,31438,1
10021,22043,2
10021,31438,1
6684,20106,1
1773,6684,1
1773,20106,2
7138,9005,1
9005,9903,1
9005,11344,1
5957,9005,1
7138,9903,1
7138,11344,1
5957,7138,1
9903,11344,1
5957,9903,1
5957,11344,1
12349,21303,1
14970,21303,1
21303,21916,1
11244,21303,1
12349,14970,1
12349,21916,1
11244,12349,1
14970,21916,1
11244,14970,1
11244,21916,1
10496,25717,1
10496,21162,1
10496,30437,1
10496,32305,1
21162,25717,1
25717,30437,1
25717,32305,1
21162,30437,1
21162,32305,1
30437,32305,1
5593,9965,2
9965,13690,1
9965,23796,1
9965,17194,2
5593,13690,1
5593,23796,1
5593,17194,2
13690,23796,1
13690,17194,1
17194,23796,1
5593,34209,1
5593,27891,1
9965,34209,1
9965,27891,1
27891,34209,1
17194,34209,1
17194,27891,1
24241,35708,1
10213,35708,1
28185,35708,1
18164,35708,1
10213,24241,2
24241,28185,2
18164,24241,1
10213,28185,3
10213,18164,1
18164,28185,1
21390,23438,1
21390,28723,1
12414,21390,1
23438,28723,1
12414,23438,1
12414,28723,1
1847,10923,2
10923,27077,1
6619,10923,2
10923,24747,4
1847,27077,1
1847,6619,2
1847,24747,2
6619,27077,1
24747,27077,1
6619,24747,2
16360,31826,1
16360,18935,1
16360,22281,1
16360,26895,1
18935,31826,1
22281,31826,2
26895,31826,3
18935,22281,2
18935,26895,1
22281,26895,9
19875,27865,1
27865,29011,1
19875,29011,5
29030,30068,2
13080,24110,1
19542,24110,1
13080,19542,2
8190,25887,2
8190,10995,1
8190,9437,1
8190,24706,1
10995,25887,1
9437,25887,1
24706,25887,1
9437,10995,1
10995,24706,1
9437,24706,1
9773,35490,1
20729,35490,2
22568,35490,2
9773,20729,1
9773,22568,1
20729,22568,9
3771,35328,1
10966,35328,1
20530,35328,1
14041,35328,1
3771,10966,7
3771,20530,2
3771,14041,2
5190,26284,1
5190,24974,3
5190,16503,2
5190,35026,20
24974,26284,1
16503,26284,1
26284,35026,1
16503,24974,4
24974,35026,2
16503,35026,1
18205,24336,1
18205,24706,1
24336,24706,2
5255,31717,1
5255,10089,1
5255,22281,1
10089,31717,3
22281,31717,3
10089,22281,4
7147,30356,1
20362,30356,1
7147,20362,3
27131,30027,1
11001,30027,1
23175,30027,1
11001,27131,4
23175,27131,1
11001,23175,1
14423,30055,2
36,14423,1
11592,14423,1
14423,18741,1
36,30055,1
11592,30055,1
18741,30055,1
36,11592,1
36,18741,1
11592,18741,1
15520,21990,3
10529,15520,3
10529,21990,6
2883,10283,1
2883,3900,1
2883,35520,1
2883,28720,1
3900,10283,1
10283,35520,1
10283,28720,1
3900,35520,1
3900,28720,1
28720,35520,1
11013,24906,3
11013,15095,3
11013,21627,4
11013,21265,8
15095,24906,4
21627,24906,4
21265,24906,4
15095,21627,4
15095,21265,4
21265,21627,6
4218,24478,1
4218,15868,1
4218,6772,1
14301,32611,1
22441,32611,2
11061,32611,2
26028,32611,3
14301,22441,1
11061,14301,1
14301,26028,1
11061,22441,2
22441,26028,2
11061,26028,2
12679,15003,1
12679,13657,1
12679,18270,1
13657,15003,1
15003,18270,1
13657,18270,1
3797,34808,2
25654,34808,2
5805,34808,3
3797,25654,6
3797,5805,3
5805,25654,4
487,36617,1
487,17434,4
17434,36617,1
23306,32380,1
23306,24409,1
118,23306,1
23306,27519,3
24409,32380,4
118,32380,4
27519,32380,1
118,24409,5
24409,27519,1
118,27519,1
3077,24363,1
6516,24363,6
15922,24363,1
7205,24363,7
3077,6516,1
3077,15922,1
3077,7205,1
6516,15922,1
6516,7205,10
7205,15922,1
4640,35912,1
4355,35912,1
33787,35912,1
25260,35912,1
4355,4640,1
4640,33787,1
4640,25260,1
4355,33787,1
4355,25260,1
25260,33787,1
16666,28590,1
16666,29181,1
16666,25378,1
28590,29181,1
25378,28590,1
25378,29181,5
14666,26465,1
26465,36207,1
5694,26465,1
14666,36207,1
5694,14666,2
5694,36207,1
17537,33431,2
11963,33431,1
11691,33431,1
23943,33431,1
11963,17537,1
11691,17537,1
17537,23943,1
11691,11963,1
11963,23943,1
11691,23943,1
8431,25693,1
7793,8431,1
8431,15257,1
8431,15922,1
7793,25693,1
15257,25693,1
15922,25693,1
7793,15257,1
7793,15922,1
15257,15922,1
20629,24985,1
145,20629,1
17156,20629,1
145,24985,1
17156,24985,1
145,17156,1
29366,35229,1
16114,35229,1
17031,35229,1
16114,29366,1
17031,29366,1
16114,17031,1
2018,6417,1
6417,23273,2
6417,11136,5
2018,23273,2
2018,11136,1
11136,23273,2
1688,24051,1
9247,24051,1
21694,24051,2
15147,24051,2
1688,9247,1
1688,21694,1
1688,15147,1
9247,21694,2
9247,15147,9
15147,21694,9
7769,31799,1
7769,17679,2
7769,25059,3
17679,31799,1
25059,31799,1
17679,25059,7
13477,27111,1
13477,21708,1
21708,27111,1
7801,10517,1
7801,12665,1
7801,33299,1
7801,16064,1
10517,12665,1
10517,33299,1
10517,16064,1
12665,33299,1
12665,16064,1
16064,33299,1
5082,18941,1
18941,19724,1
2786,18941,1
1093,18941,1
5082,19724,1
2786,5082,1
1093,5082,1
2786,19724,1
1093,19724,1
1093,2786,1
4069,7002,1
3454,7002,1
7002,33372,1
7002,15621,2
3454,4069,1
4069,33372,1
4069,15621,1
3454,33372,1
3454,15621,1
15621,33372,4
8609,10066,1
10066,21953,1
10066,35718,1
10066,32463,1
8609,21953,1
8609,35718,1
8609,32463,1
21953,35718,1
21953,32463,1
32463,35718,1
13858,17765,1
17765,32707,1
12070,17765,1
17765,29749,3
13858,32707,1
12070,13858,1
12070,32707,1
29749,32707,3
12070,29749,1
2701,16605,2
13349,16605,1
9273,16605,2
16605,24134,2
2701,13349,1
2701,9273,2
2701,24134,2
9273,13349,1
9273,24134,4
8430,26113,1
7321,26113,2
7321,8430,1
11898,23094,3
21888,23094,1
11898,21888,1
32360,33889,2
31527,32360,4
29977,32360,2
29977,33889,2
29977,31527,2
8405,14327,2
14327,23910,1
14327,29431,1
14327,15236,1
8405,23910,1
8405,29431,1
8405,15236,1
23910,29431,1
15236,23910,1
15236,29431,1
3882,8190,1
5711,8190,1
8190,26472,1
3882,25887,1
3882,5711,1
3882,26472,1
5711,25887,2
25887,26472,2
5711,26472,2
13543,30031,4
13543,28507,2
12816,13543,1
28507,30031,4
12816,30031,1
