Source,Target,Type,Id,Label,timeset,Weight,year
"Alvarez-Alvarado, M.S.","Blazquez, F.",Undirected,55,,,1,2018
"Cordova-Villagomez, J.","Recalde, A.",Undirected,56,,,1,2018
"Cordova-Villagomez, J.","Blazquez, F.",Undirected,57,,,1,2018
"Recalde, A.","Blazquez, F.",Undirected,58,,,1,2018
"Recalde, A.","Endara, I.",Undirected,59,,,2,2018
"Recalde, A.","Torres, J.",Undirected,60,,,1,2018
"Endara, I.","Torres, J.",Undirected,61,,,1,2018
"Endara, I.","Alvarez-Alvarado, M.S.",Undirected,62,,,1,2018
"Endara, I.","Vaca-Urbano, F.",Undirected,63,,,1,2018
"Torres, J.","Alvarez-Alvarado, M.S.",Undirected,64,,,1,2018
"Torres, J.","Vaca-Urbano, F.",Undirected,65,,,1,2018
"Cipriano, D.","Rengifo, J.",Undirected,66,,,1,2018
"Cipriano, D.","Aller, J.M.",Undirected,67,,,1,2018
"Rengifo, J.","Aller, J.M.",Undirected,68,,,2,2018
"Rengifo, J.","Romero, J.",Undirected,89,,,1,2018
"Romero, J.","Aller, J.M.",Undirected,90,,,1,2018
"Asanza, V.","Pelaez, E.",Undirected,91,,,4,2016
"Asanza, V.","Loayza, F.",Undirected,92,,,3,2018
"Asanza, V.","Diaz, J.",Undirected,93,,,1,2018
"Asanza, V.","Valarezo, E.",Undirected,94,,,1,2018
"Pelaez, E.","Loayza, F.",Undirected,95,,,3,2018
"Pelaez, E.","Diaz, J.",Undirected,96,,,1,2018
"Pelaez, E.","Valarezo, E.",Undirected,97,,,1,2018
"Loayza, F.","Diaz, J.",Undirected,98,,,1,2018
"Loayza, F.","Valarezo, E.",Undirected,99,,,1,2018
"Diaz, J.","Valarezo, E.",Undirected,100,,,1,2018
"Suarez, P.L.","Sappa, A.D.",Undirected,101,,,6,2017
"Suarez, P.L.","Vintimilla, B.X.",Undirected,102,,,6,2017
"Suarez, P.L.","Hammoud, R.I.",Undirected,103,,,2,2018
"Sappa, A.D.","Vintimilla, B.X.",Undirected,104,,,13,2015
"Sappa, A.D.","Hammoud, R.I.",Undirected,105,,,2,2018
"Vintimilla, B.X.","Hammoud, R.I.",Undirected,106,,,2,2018
"Villegas, P.","Mena, L.",Undirected,107,,,1,2018
"Villegas, P.","Constantine, A.",Undirected,108,,,1,2018
"Villegas, P.","Villalba, R.",Undirected,109,,,1,2018
"Villegas, P.","Ochoa, D.",Undirected,110,,,1,2018
"Mena, L.","Constantine, A.",Undirected,111,,,1,2018
"Mena, L.","Villalba, R.",Undirected,112,,,1,2018
"Mena, L.","Ochoa, D.",Undirected,113,,,1,2018
"Constantine, A.","Villalba, R.",Undirected,114,,,1,2018
"Constantine, A.","Ochoa, D.",Undirected,115,,,1,2018
"Villalba, R.","Ochoa, D.",Undirected,116,,,1,2018
"Baidal, C.S.","Salazar, D.S.",Undirected,119,,,1,2018
"Baidal, C.S.","Padilla, V.S.",Undirected,120,,,1,2018
"Baidal, C.S.","Estrada, R.L.",Undirected,121,,,1,2018
"Baidal, C.S.","Arreaga, N.X.",Undirected,122,,,1,2018
"Salazar, D.S.","Padilla, V.S.",Undirected,123,,,1,2018
"Salazar, D.S.","Estrada, R.L.",Undirected,124,,,1,2018
"Salazar, D.S.","Arreaga, N.X.",Undirected,125,,,1,2018
"Padilla, V.S.","Estrada, R.L.",Undirected,126,,,1,2018
"Padilla, V.S.","Arreaga, N.X.",Undirected,127,,,2,2018
"Estrada, R.L.","Arreaga, N.X.",Undirected,128,,,1,2018
"Velásquez, W.","Chalen, M.",Undirected,129,,,2,2018
"Velásquez, W.","Salvachúa, J.",Undirected,130,,,3,2018
"Chalen, M.","Salvachúa, J.",Undirected,131,,,1,2018
"Liao, W.","Ochoa, D.",Undirected,142,,,2,2017
"Liao, W.","Zhao, Y.",Undirected,143,,,1,2018
"Liao, W.","Rugel, G.M.V.",Undirected,144,,,1,2018
"Liao, W.","Philips, W.",Undirected,145,,,2,2017
"Ochoa, D.","Zhao, Y.",Undirected,146,,,1,2018
"Ochoa, D.","Rugel, G.M.V.",Undirected,147,,,1,2018
"Ochoa, D.","Philips, W.",Undirected,148,,,2,2017
"Zhao, Y.","Rugel, G.M.V.",Undirected,149,,,1,2018
"Zhao, Y.","Philips, W.",Undirected,150,,,1,2018
"Rugel, G.M.V.","Philips, W.",Undirected,151,,,1,2018
"Dye, M.","Kumar, N.",Undirected,152,,,1,2018
"Dye, M.","Schlesinger, A.",Undirected,153,,,1,2018
"Dye, M.","Pal, J.",Undirected,154,,,1,2018
"Dye, M.","Gray, M.L.",Undirected,155,,,1,2018
"Kumar, N.","Schlesinger, A.",Undirected,156,,,1,2018
"Kumar, N.","Pal, J.",Undirected,157,,,1,2018
"Kumar, N.","Gray, M.L.",Undirected,158,,,1,2018
"Schlesinger, A.","Pal, J.",Undirected,159,,,1,2018
"Schlesinger, A.","Gray, M.L.",Undirected,160,,,1,2018
"Pal, J.","Gray, M.L.",Undirected,161,,,1,2018
"Lucas, P.","Loayza, K.",Undirected,185,,,2,2018
"Lucas, P.","Peláez, E.",Undirected,186,,,3,2015
"Loayza, K.","Peláez, E.",Undirected,187,,,1,2018
"Castro, S.J.","Jácome, L.",Undirected,188,,,1,2018
"Castro, S.J.","Concha, A.G.",Undirected,189,,,1,2018
"Castro, S.J.","Miño, M.F.",Undirected,190,,,1,2018
"Castro, S.J.","De Lourdes Pilay, M.",Undirected,191,,,1,2018
"Jácome, L.","Concha, A.G.",Undirected,192,,,1,2018
"Jácome, L.","Miño, M.F.",Undirected,193,,,1,2018
"Jácome, L.","De Lourdes Pilay, M.",Undirected,194,,,1,2018
"Concha, A.G.","Miño, M.F.",Undirected,195,,,1,2018
"Concha, A.G.","De Lourdes Pilay, M.",Undirected,196,,,1,2018
"Miño, M.F.","De Lourdes Pilay, M.",Undirected,197,,,1,2018
"Cordova-Garcia, J.","Xie, D.-L.",Undirected,198,,,1,2018
"Cordova-Garcia, J.","Wang, X.",Undirected,199,,,2,2018
"Xie, D.-L.","Wang, X.",Undirected,200,,,1,2018
"Hernandez, J.","Abad, A.G.",Undirected,204,,,2,2018
"Cordova Estrella, R.","Marin-Garcia, I.",Undirected,205,,,1,2018
"Cordova Estrella, R.","Munoz-Arcentales, J.A.",Undirected,206,,,1,2018
"Cordova Estrella, R.","Asanza, V.",Undirected,207,,,1,2018
"Cordova Estrella, R.","Velasquez Vargas, W.A.",Undirected,208,,,1,2018
"Marin-Garcia, I.","Munoz-Arcentales, J.A.",Undirected,209,,,1,2018
"Marin-Garcia, I.","Asanza, V.",Undirected,210,,,1,2018
"Marin-Garcia, I.","Velasquez Vargas, W.A.",Undirected,211,,,1,2018
"Munoz-Arcentales, J.A.","Asanza, V.",Undirected,212,,,1,2018
"Munoz-Arcentales, J.A.","Velasquez Vargas, W.A.",Undirected,213,,,1,2018
"Asanza, V.","Velasquez Vargas, W.A.",Undirected,214,,,1,2018
"MacArini, L.A.","Cechinel, C.",Undirected,215,,,1,2018
"MacArini, L.A.","Dos Santos, H.L.",Undirected,216,,,1,2018
"MacArini, L.A.","Alonso, G.E.",Undirected,217,,,1,2018
"MacArini, L.A.","Casas, A.P.",Undirected,218,,,1,2018
"Cechinel, C.","Dos Santos, H.L.",Undirected,219,,,3,2017
"Cechinel, C.","Alonso, G.E.",Undirected,220,,,2,2018
"Cechinel, C.","Casas, A.P.",Undirected,221,,,1,2018
"Dos Santos, H.L.","Alonso, G.E.",Undirected,222,,,2,2018
"Dos Santos, H.L.","Casas, A.P.",Undirected,223,,,1,2018
"Alonso, G.E.","Casas, A.P.",Undirected,224,,,1,2018
"Jurado-Verdu, C.","Guerra, V.",Undirected,231,,,2,2018
"Jurado-Verdu, C.","Rabadan, J.",Undirected,232,,,2,2018
"Jurado-Verdu, C.","Perez-Jimenez, R.",Undirected,233,,,2,2018
"Jurado-Verdu, C.","Chavez-Burbano, P.",Undirected,234,,,2,2018
"Guerra, V.","Rabadan, J.",Undirected,235,,,4,2016
"Guerra, V.","Perez-Jimenez, R.",Undirected,236,,,4,2016
"Guerra, V.","Chavez-Burbano, P.",Undirected,237,,,3,2018
"Rabadan, J.","Perez-Jimenez, R.",Undirected,238,,,4,2016
"Rabadan, J.","Chavez-Burbano, P.",Undirected,239,,,3,2018
"Perez-Jimenez, R.","Chavez-Burbano, P.",Undirected,240,,,4,2015
"Boza, E.F.","Abad, C.L.",Undirected,241,,,5,2017
"Boza, E.F.","Villavicencio, M.",Undirected,242,,,3,2017
"Boza, E.F.","Quimba, S.",Undirected,243,,,2,2018
"Abad, C.L.","Villavicencio, M.",Undirected,244,,,2,2018
"Abad, C.L.","Quimba, S.",Undirected,245,,,2,2018
"Villavicencio, M.","Quimba, S.",Undirected,246,,,3,2018
"Luzardo, G.","Aelterman, J.",Undirected,247,,,2,2017
"Luzardo, G.","Luong, H.",Undirected,248,,,2,2017
"Luzardo, G.","Ochoa, D.",Undirected,249,,,2,2017
"Luzardo, G.","Rousseaux, S.",Undirected,250,,,1,2018
"Aelterman, J.","Luong, H.",Undirected,251,,,2,2017
"Aelterman, J.","Ochoa, D.",Undirected,252,,,2,2017
"Aelterman, J.","Rousseaux, S.",Undirected,253,,,1,2018
"Luong, H.","Ochoa, D.",Undirected,254,,,2,2017
"Luong, H.","Rousseaux, S.",Undirected,255,,,1,2018
"Ochoa, D.","Rousseaux, S.",Undirected,256,,,1,2018
"Velasquez, W.","Alvarez-Alvarado, M.S.",Undirected,257,,,1,2018
"Velasquez, W.","Salvachua, J.",Undirected,258,,,2,2018
"Alvarez-Alvarado, M.S.","Salvachua, J.",Undirected,259,,,1,2018
"Gonzalez, A.","Velasquez, W.",Undirected,260,,,1,2018
"Velasquez, W.","Munoz-Arcentales, A.",Undirected,261,,,2,2018
"Velasquez, W.","Rodriguez, J.S.",Undirected,262,,,1,2018
"Munoz-Arcentales, A.","Rodriguez, J.S.",Undirected,263,,,1,2018
"Lucas, P.","Vaca, D.",Undirected,284,,,1,2018
"Lucas, P.","Dominguez, F.",Undirected,285,,,1,2018
"Lucas, P.","Ochoa, X.",Undirected,286,,,1,2018
"Vaca, D.","Dominguez, F.",Undirected,287,,,1,2018
"Vaca, D.","Ochoa, X.",Undirected,288,,,1,2018
"Dominguez, F.","Ochoa, X.",Undirected,289,,,2,2018
"Oviedo, I.D.","Altamirano, C.A.",Undirected,290,,,1,2018
"Oviedo, I.D.","Millan, M.E.",Undirected,291,,,1,2018
"Oviedo, I.D.","Arreaga, N.X.",Undirected,292,,,1,2018
"Oviedo, I.D.","Padilla, V.S.",Undirected,293,,,1,2018
"Altamirano, C.A.","Millan, M.E.",Undirected,294,,,1,2018
"Altamirano, C.A.","Arreaga, N.X.",Undirected,295,,,1,2018
"Altamirano, C.A.","Padilla, V.S.",Undirected,296,,,1,2018
"Millan, M.E.","Arreaga, N.X.",Undirected,297,,,1,2018
"Millan, M.E.","Padilla, V.S.",Undirected,298,,,1,2018
"Soria, X.","Sappa, A.D.",Undirected,299,,,3,2017
"Charco, J.L.","Vintimilla, B.X.",Undirected,300,,,1,2018
"Charco, J.L.","Sappa, A.D.",Undirected,301,,,1,2018
"Quelal, R.E.","Villavicencio, M.",Undirected,302,,,1,2018
"Quelal, R.E.","Mendoza, L.E.",Undirected,303,,,1,2018
"Villavicencio, M.","Mendoza, L.E.",Undirected,304,,,1,2018
"Wong-Villacres, M.","Kumar, A.",Undirected,311,,,1,2018
"Wong-Villacres, M.","Vishwanath, A.",Undirected,312,,,1,2018
"Wong-Villacres, M.","DiSalvo, B.",Undirected,313,,,1,2018
"Wong-Villacres, M.","Kumar, N.",Undirected,314,,,1,2018
"Kumar, A.","Vishwanath, A.",Undirected,315,,,1,2018
"Kumar, A.","DiSalvo, B.",Undirected,316,,,1,2018
"Kumar, A.","Kumar, N.",Undirected,317,,,1,2018
"Vishwanath, A.","DiSalvo, B.",Undirected,318,,,1,2018
"Vishwanath, A.","Kumar, N.",Undirected,319,,,1,2018
"DiSalvo, B.","Kumar, N.",Undirected,320,,,1,2018
"Castillo, G.","Layedra, F.",Undirected,321,,,1,2018
"Castillo, G.","Guaranda, M.-B.",Undirected,322,,,1,2018
"Castillo, G.","Lara, P.",Undirected,323,,,1,2018
"Castillo, G.","Vaca, C.",Undirected,324,,,2,2017
"Layedra, F.","Guaranda, M.-B.",Undirected,325,,,1,2018
"Layedra, F.","Lara, P.",Undirected,326,,,1,2018
"Layedra, F.","Vaca, C.",Undirected,327,,,1,2018
"Guaranda, M.-B.","Lara, P.",Undirected,328,,,1,2018
"Guaranda, M.-B.","Vaca, C.",Undirected,329,,,1,2018
"Lara, P.","Vaca, C.",Undirected,330,,,1,2018
"Kuffo, L.","Vaca, C.",Undirected,331,,,1,2018
"Kuffo, L.","Izquierdo, E.",Undirected,332,,,1,2018
"Kuffo, L.","Bustamante, J.C.",Undirected,333,,,1,2018
"Vaca, C.","Izquierdo, E.",Undirected,334,,,1,2018
"Vaca, C.","Bustamante, J.C.",Undirected,335,,,1,2018
"Izquierdo, E.","Bustamante, J.C.",Undirected,336,,,1,2018
"Fiallos, A.","Jimenes, K.",Undirected,337,,,2,2017
"Fiallos, A.","Fiallos, C.",Undirected,338,,,1,2018
"Fiallos, A.","Figueroa, S.",Undirected,339,,,1,2018
"Jimenes, K.","Fiallos, C.",Undirected,340,,,1,2018
"Jimenes, K.","Figueroa, S.",Undirected,341,,,1,2018
"Fiallos, C.","Figueroa, S.",Undirected,342,,,1,2018
"Alomari, A.","April, A.",Undirected,352,,,1,2018
"Alomari, A.","Monsalve, C.",Undirected,353,,,1,2018
"Alomari, A.","Gawanmeh, A.",Undirected,354,,,1,2018
"April, A.","Monsalve, C.",Undirected,355,,,2,2015
"April, A.","Gawanmeh, A.",Undirected,356,,,1,2018
"Monsalve, C.","Gawanmeh, A.",Undirected,357,,,1,2018
"Evans, H.I.","Wong-Villacres, M.",Undirected,361,,,1,2018
"Evans, H.I.","Castro, D.",Undirected,362,,,1,2018
"Evans, H.I.","Dye, M.",Undirected,363,,,1,2018
"Evans, H.I.","Bruckman, A.",Undirected,364,,,1,2018
"Wong-Villacres, M.","Castro, D.",Undirected,365,,,1,2018
"Wong-Villacres, M.","Dye, M.",Undirected,366,,,1,2018
"Wong-Villacres, M.","Bruckman, A.",Undirected,367,,,1,2018
"Castro, D.","Dye, M.",Undirected,368,,,1,2018
"Castro, D.","Bruckman, A.",Undirected,369,,,1,2018
"Dye, M.","Bruckman, A.",Undirected,370,,,1,2018
"Abad, C.L.","Eyk, E.V.",Undirected,371,,,1,2018
"Boza, E.F.","Eyk, E.V.",Undirected,372,,,1,2018
"Van Eyk, E.","Iosup, A.",Undirected,373,,,1,2018
"Van Eyk, E.","Abad, C.L.",Undirected,374,,,1,2018
"Van Eyk, E.","Grohmann, J.",Undirected,375,,,1,2018
"Van Eyk, E.","Eismann, S.",Undirected,376,,,1,2018
"Iosup, A.","Abad, C.L.",Undirected,377,,,1,2018
"Iosup, A.","Grohmann, J.",Undirected,378,,,1,2018
"Iosup, A.","Eismann, S.",Undirected,379,,,1,2018
"Abad, C.L.","Grohmann, J.",Undirected,380,,,1,2018
"Abad, C.L.","Eismann, S.",Undirected,381,,,1,2018
"Grohmann, J.","Eismann, S.",Undirected,382,,,1,2018
"Bonilla, R.I.","Abad, C.L.",Undirected,383,,,1,2018
"Carrillo, G.E.","Abad, C.L.",Undirected,384,,,1,2018
"Bonilla, R.I.","Crow, J.J.",Undirected,385,,,1,2018
"Bonilla, R.I.","Basantes, L.S.",Undirected,386,,,1,2018
"Bonilla, R.I.","Cruz, L.G.",Undirected,387,,,1,2018
"Crow, J.J.","Basantes, L.S.",Undirected,388,,,1,2018
"Crow, J.J.","Cruz, L.G.",Undirected,389,,,1,2018
"Basantes, L.S.","Cruz, L.G.",Undirected,390,,,1,2018
"Soria, X.","Akbarinia, A.",Undirected,391,,,1,2018
"Sappa, A.D.","Akbarinia, A.",Undirected,392,,,1,2018
"Ochoa, X.","Domínguez, F.",Undirected,393,,,3,2015
"Ochoa, X.","Guamán, B.",Undirected,394,,,2,2018
"Ochoa, X.","Falcones, G.",Undirected,395,,,1,2018
"Ochoa, X.","Castells, J.",Undirected,396,,,2,2018
"Domínguez, F.","Guamán, B.",Undirected,397,,,1,2018
"Domínguez, F.","Falcones, G.",Undirected,398,,,1,2018
"Domínguez, F.","Castells, J.",Undirected,399,,,1,2018
"Guamán, B.","Falcones, G.",Undirected,400,,,1,2018
"Guamán, B.","Castells, J.",Undirected,401,,,2,2018
"Falcones, G.","Castells, J.",Undirected,402,,,3,2017
"Echeverria, V.","Martinez-Maldonado, R.",Undirected,403,,,6,2017
"Echeverria, V.","Granda, R.",Undirected,404,,,2,2017
"Echeverria, V.","Conati, C.",Undirected,405,,,1,2018
"Echeverria, V.","Shum, S.B.",Undirected,406,,,3,2017
"Martinez-Maldonado, R.","Granda, R.",Undirected,407,,,1,2018
"Martinez-Maldonado, R.","Conati, C.",Undirected,408,,,1,2018
"Martinez-Maldonado, R.","Shum, S.B.",Undirected,409,,,3,2017
"Granda, R.","Conati, C.",Undirected,410,,,1,2018
"Granda, R.","Shum, S.B.",Undirected,411,,,1,2018
"Conati, C.","Shum, S.B.",Undirected,412,,,1,2018
"Shum, S.B.","Ferguson, R.",Undirected,413,,,1,2018
"Shum, S.B.","Merceron, A.",Undirected,414,,,1,2018
"Shum, S.B.","Ochoa, X.",Undirected,415,,,1,2018
"Ferguson, R.","Merceron, A.",Undirected,416,,,1,2018
"Ferguson, R.","Ochoa, X.",Undirected,417,,,1,2018
"Merceron, A.","Ochoa, X.",Undirected,418,,,1,2018
"Phatak, S.S.","Freigoun, M.T.",Undirected,419,,,1,2018
"Phatak, S.S.","Martín, C.A.",Undirected,420,,,1,2018
"Phatak, S.S.","Klasnja, P.",Undirected,421,,,1,2018
"Phatak, S.S.","Hekler, E.B.",Undirected,422,,,2,2018
"Freigoun, M.T.","Martín, C.A.",Undirected,423,,,1,2018
"Freigoun, M.T.","Klasnja, P.",Undirected,424,,,1,2018
"Freigoun, M.T.","Hekler, E.B.",Undirected,425,,,1,2018
"Martín, C.A.","Klasnja, P.",Undirected,426,,,1,2018
"Martín, C.A.","Hekler, E.B.",Undirected,427,,,3,2016
"Klasnja, P.","Hekler, E.B.",Undirected,428,,,1,2018
"Velásquez, W.","Munoz-Arcentales, A.",Undirected,439,,,3,2018
"Velásquez, W.","Chalén, T.M.",Undirected,440,,,1,2018
"Munoz-Arcentales, A.","Chalén, T.M.",Undirected,441,,,1,2018
"Munoz-Arcentales, A.","Salvachúa, J.",Undirected,442,,,2,2018
"Chalén, T.M.","Salvachúa, J.",Undirected,443,,,1,2018
"Munoz-Arcentales, A.","Montoya, A.",Undirected,444,,,1,2018
"Munoz-Arcentales, A.","Chalen, M.",Undirected,445,,,1,2018
"Montoya, A.","Chalen, M.",Undirected,446,,,1,2018
"Montoya, A.","Velásquez, W.",Undirected,447,,,1,2018
"Velasquez, W.","Yanez, W.",Undirected,448,,,1,2018
"Munoz-Arcentales, A.","Yanez, W.",Undirected,449,,,1,2018
"Munoz-Arcentales, A.","Salvachua, J.",Undirected,450,,,1,2018
"Yanez, W.","Salvachua, J.",Undirected,451,,,1,2018
"Mendieta, M.","Martin, C.A.",Undirected,458,,,1,2018
"Mendieta, M.","Abad, C.L.",Undirected,459,,,1,2018
"Martin, C.A.","Abad, C.L.",Undirected,460,,,1,2018
"Campana, F.","Pinargote, A.",Undirected,461,,,1,2018
"Campana, F.","Pelaez, E.",Undirected,462,,,1,2018
"Pinargote, A.","Dominguez, F.",Undirected,463,,,1,2018
"Pinargote, A.","Pelaez, E.",Undirected,464,,,1,2018
"Dominguez, F.","Pelaez, E.",Undirected,465,,,1,2018
"Recalde, A.","Quimis, M.",Undirected,466,,,1,2018
"Recalde, A.","Romero, C.",Undirected,467,,,1,2018
"Endara, I.","Quimis, M.",Undirected,468,,,1,2018
"Endara, I.","Romero, C.",Undirected,469,,,1,2018
"Quimis, M.","Romero, C.",Undirected,470,,,1,2018
"Torres, J.","Ochoa, A.",Undirected,471,,,1,2018
"Torres, J.","Jimenez, A.",Undirected,472,,,2,2017
"Torres, J.","Pelaez, E.",Undirected,473,,,1,2018
"Torres, J.","Ochoa, X.",Undirected,474,,,2,2017
"Ochoa, A.","Jimenez, A.",Undirected,475,,,1,2018
"Ochoa, A.","Pelaez, E.",Undirected,476,,,1,2018
"Ochoa, A.","Ochoa, X.",Undirected,477,,,1,2018
"Jimenez, A.","Pelaez, E.",Undirected,478,,,1,2018
"Jimenez, A.","Ochoa, X.",Undirected,479,,,2,2017
"Pelaez, E.","Ochoa, X.",Undirected,480,,,1,2018
"Castro, S.J.","Boza, E.F.",Undirected,481,,,1,2018
"Castro, S.J.","Abad, C.L.",Undirected,482,,,1,2018
"Loayza, K.","Pelaez, E.",Undirected,483,,,1,2018
"Lucas, P.","Pelaez, E.",Undirected,484,,,1,2018
"Jurado, D.","Maya, R.",Undirected,485,,,1,2018
"Jurado, D.","Dominguez, F.",Undirected,486,,,1,2018
"Jurado, D.","Ochoa, X.",Undirected,487,,,1,2018
"Maya, R.","Dominguez, F.",Undirected,488,,,1,2018
"Maya, R.","Ochoa, X.",Undirected,489,,,1,2018
"Boza, E.F.","Plaza, J.A.",Undirected,538,,,1,2018
"Abad, C.L.","Plaza, J.A.",Undirected,539,,,1,2018
"Villavicencio, M.","Plaza, J.A.",Undirected,540,,,1,2018
"Quimba, S.","Plaza, J.A.",Undirected,541,,,1,2018
"Asanza, V.","Martin, C.A.",Undirected,542,,,1,2018
"Asanza, V.","Eslambolchilar, P.",Undirected,543,,,1,2018
"Asanza, V.","Cajo, R.",Undirected,544,,,1,2018
"Asanza, V.","Salazar, C.",Undirected,545,,,1,2018
"Martin, C.A.","Eslambolchilar, P.",Undirected,546,,,1,2018
"Martin, C.A.","Cajo, R.",Undirected,547,,,1,2018
"Martin, C.A.","Salazar, C.",Undirected,548,,,1,2018
"Eslambolchilar, P.","Cajo, R.",Undirected,549,,,1,2018
"Eslambolchilar, P.","Salazar, C.",Undirected,550,,,1,2018
"Cajo, R.","Salazar, C.",Undirected,551,,,1,2018
"Cajo, R.","Godoy, C.",Undirected,552,,,1,2018
"Cajo, R.","Romero, J.",Undirected,553,,,1,2018
"Cajo, R.","Bosquez, C.",Undirected,554,,,1,2018
"Cajo, R.","Huilcapi, V.",Undirected,555,,,1,2018
"Godoy, C.","Romero, J.",Undirected,556,,,1,2018
"Godoy, C.","Bosquez, C.",Undirected,557,,,1,2018
"Godoy, C.","Huilcapi, V.",Undirected,558,,,1,2018
"Romero, J.","Bosquez, C.",Undirected,559,,,1,2018
"Romero, J.","Huilcapi, V.",Undirected,560,,,1,2018
"Bosquez, C.","Huilcapi, V.",Undirected,561,,,1,2018
"Valle, D.","Villavicencio, J.",Undirected,562,,,1,2018
"Valle, D.","Muñoz, L.",Undirected,563,,,1,2018
"Valle, D.","Molina, M.",Undirected,564,,,1,2018
"Valle, D.","Ponguillo, R.",Undirected,565,,,1,2018
"Villavicencio, J.","Muñoz, L.",Undirected,566,,,1,2018
"Villavicencio, J.","Molina, M.",Undirected,567,,,1,2018
"Villavicencio, J.","Ponguillo, R.",Undirected,568,,,1,2018
"Muñoz, L.","Molina, M.",Undirected,569,,,1,2018
"Muñoz, L.","Ponguillo, R.",Undirected,570,,,1,2018
"Molina, M.","Ponguillo, R.",Undirected,571,,,1,2018
"Veriñaz, H.I.","Vela, E.M.",Undirected,572,,,2,2017
"Veriñaz, H.I.","Ponguillo, R.A.",Undirected,573,,,2,2017
"Vela, E.M.","Ponguillo, R.A.",Undirected,574,,,2,2017
"Ochoa, X.","Chiluiza, K.",Undirected,578,,,3,2015
"Ochoa, X.","Granda, R.",Undirected,579,,,1,2018
"Chiluiza, K.","Granda, R.",Undirected,580,,,3,2016
"Chiluiza, K.","Castells, J.",Undirected,581,,,3,2017
"Chiluiza, K.","Guamán, B.",Undirected,582,,,2,2015
"Granda, R.","Castells, J.",Undirected,583,,,2,2017
"Granda, R.","Guamán, B.",Undirected,584,,,1,2018
"Villavicencio, M.","Pincay, J.",Undirected,585,,,4,2017
"Villavicencio, M.","Desiderio, K.",Undirected,586,,,1,2018
"Pincay, J.","Desiderio, K.",Undirected,587,,,1,2018
"Pincay, J.","Quimba, S.",Undirected,588,,,1,2018
"Desiderio, K.","Quimba, S.",Undirected,589,,,1,2018
"Quelal, R.","Villavicencio, M.",Undirected,591,,,1,2018
"Torres, J.","Ortiz, K.",Undirected,592,,,1,2018
